,To,Ti_sp,Tn2,Tn4,Tn5,Tn6,Tcor,Φo,Φi,Qa,Φa,Etot
2009-02-01 12:00:00+01:00,-3.5,20,20,20,20,20,20,77.616,39.68999999999999,0.0,201.09599999999998,58.8
2009-02-01 13:00:00+01:00,-3.6,20,20,20,20,20,20,79.46400000000001,40.635,0.0,205.88400000000001,60.2
2009-02-01 14:00:00+01:00,-3.2,20,20,20,20,20,20,72.996,37.32749999999999,0.0,189.12599999999998,55.3
2009-02-01 15:00:00+01:00,-3.1,20,20,20,20,20,20,60.98400000000001,31.185,0.0,158.00400000000002,46.2
2009-02-01 16:00:00+01:00,-3.1,20,20,20,20,20,20,43.428,22.207499999999996,0.0,112.51799999999999,32.9
2009-02-01 17:00:00+01:00,-3.3,20,20,20,20,20,20,17.556,8.9775,0.0,45.486000000000004,13.3
2009-02-01 18:00:00+01:00,-3.6,20,20,20,20,20,20,1.8479999999999999,0.9449999999999998,0.0,4.787999999999999,1.4
2009-02-01 19:00:00+01:00,-3.3,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-01 20:00:00+01:00,-3.3,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-01 21:00:00+01:00,-3.3,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-01 22:00:00+01:00,-3.3,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-01 23:00:00+01:00,-3.6,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-02 00:00:00+01:00,-3.7,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-02 01:00:00+01:00,-4.0,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-02 02:00:00+01:00,-3.7,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-02 03:00:00+01:00,-4.0,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-02 04:00:00+01:00,-4.0,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-02 05:00:00+01:00,-3.8,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-02 06:00:00+01:00,-3.9,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-02 07:00:00+01:00,-4.2,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-02 08:00:00+01:00,-4.2,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-02 09:00:00+01:00,-4.2,20,20,20,20,20,20,36.036,18.4275,0.0,93.366,27.3
2009-02-02 10:00:00+01:00,-4.2,20,20,20,20,20,20,61.908,31.657499999999995,0.0,160.398,46.9
2009-02-02 11:00:00+01:00,-4.1,20,20,20,20,20,20,75.76800000000001,38.745,0.0,196.30800000000002,57.400000000000006
2009-02-02 12:00:00+01:00,-3.2,20,20,20,20,20,20,80.388,41.1075,0.0,208.27800000000002,60.900000000000006
2009-02-02 13:00:00+01:00,-2.7,20,20,20,20,20,20,83.16000000000001,42.525,0.0,215.46,63.0
2009-02-02 14:00:00+01:00,-2.1,20,20,20,20,20,20,78.54,40.162499999999994,0.0,203.49,59.5
2009-02-02 15:00:00+01:00,0.1,20,20,20,20,20,20,67.452,34.4925,0.0,174.762,51.1
2009-02-02 16:00:00+01:00,0.1,20,20,20,20,20,20,48.048,24.569999999999997,0.0,124.488,36.4
2009-02-02 17:00:00+01:00,-1.4,20,20,20,20,20,20,19.404,9.922499999999998,0.0,50.273999999999994,14.7
2009-02-02 18:00:00+01:00,-2.5,20,20,20,20,20,20,1.8479999999999999,0.9449999999999998,0.0,4.787999999999999,1.4
2009-02-02 19:00:00+01:00,-3.0,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-02 20:00:00+01:00,-3.9,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-02 21:00:00+01:00,-4.1,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-02 22:00:00+01:00,-5.2,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-02 23:00:00+01:00,-6.1,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-03 00:00:00+01:00,-6.3,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-03 01:00:00+01:00,-6.5,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-03 02:00:00+01:00,-7.0,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-03 03:00:00+01:00,-7.0,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-03 04:00:00+01:00,-7.1,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-03 05:00:00+01:00,-5.7,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-03 06:00:00+01:00,-4.0,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-03 07:00:00+01:00,-3.7,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-03 08:00:00+01:00,-3.9,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-03 09:00:00+01:00,-3.3,20,20,20,20,20,20,39.732000000000006,20.3175,0.0,102.94200000000001,30.1
2009-02-03 10:00:00+01:00,-3.0,20,20,20,20,20,20,66.528,34.019999999999996,0.0,172.368,50.4
2009-02-03 11:00:00+01:00,-1.9,20,20,20,20,20,20,92.4,47.24999999999999,0.0,239.4,70.0
2009-02-03 12:00:00+01:00,0.1,20,20,20,20,20,20,128.436,65.6775,0.0,332.76599999999996,97.3
2009-02-03 13:00:00+01:00,0.8,20,20,20,20,20,20,155.232,79.37999999999998,0.0,402.19199999999995,117.6
2009-02-03 14:00:00+01:00,1.4,20,20,20,20,20,20,149.68800000000002,76.545,0.0,387.82800000000003,113.4
2009-02-03 15:00:00+01:00,1.9,20,20,20,20,20,20,119.196,60.95249999999999,0.0,308.82599999999996,90.3
2009-02-03 16:00:00+01:00,1.4,20,20,20,20,20,20,69.3,35.4375,0.0,179.54999999999998,52.5
2009-02-03 17:00:00+01:00,0.9,20,20,20,20,20,20,21.252000000000002,10.8675,0.0,55.062000000000005,16.1
2009-02-03 18:00:00+01:00,0.2,20,20,20,20,20,20,0.9239999999999999,0.4724999999999999,0.0,2.3939999999999997,0.7
2009-02-03 19:00:00+01:00,0.7,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-03 20:00:00+01:00,1.0,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-03 21:00:00+01:00,0.8,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-03 22:00:00+01:00,0.8,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-03 23:00:00+01:00,0.5,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-04 00:00:00+01:00,0.4,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-04 01:00:00+01:00,0.5,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-04 02:00:00+01:00,0.2,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-04 03:00:00+01:00,0.2,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-04 04:00:00+01:00,0.1,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-04 05:00:00+01:00,0.3,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-04 06:00:00+01:00,0.0,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-04 07:00:00+01:00,0.2,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-04 08:00:00+01:00,0.1,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-04 09:00:00+01:00,0.7,20,20,20,20,20,20,44.352000000000004,22.68,0.0,114.912,33.6
