A,θ0,θ1,θ2,θ3,θ4,θ5,θ6,θ7,θ8,θ9,θ10,θ11,θ12,θ13,θ14,θ15,θ16,θ17,θ18,θ19,G,b
q0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,To
q1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.2,
q2,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.2,
q3,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52,
q4,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52,
q5,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,720,
q6,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35.2,
q7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,150,To
q8,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,48,
q9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,78,Tn4
q10,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,312,
q11,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,104,
q12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,120,Tn5
q13,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,480,
q14,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,160,
q15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.66667,Tcor
q16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ti_sp
q17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.73333,Tcor
q18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,5.04,
q19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,14.4,
q20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,51.6,Tcor
q21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,206.4,
q22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,68.8,
q23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,120,Tn6
q24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,480,
q25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,160,
q26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,78,Tn2
q27,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,312,
q28,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,104,
q29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3333,To
C,0,1.45E+06,0,33880,0,0,62400,0,3.22E+06,0,4.95E+06,0,3.22E+06,0,4.95E+06,0,2.13E+06,0,236250,0,,
f,Φo,0,0,0,,0,Qa,Φa,,,,,,,,,,Φi,,Φi,,
y,,,,,,,1,,,,,,,,,,,,,,,
